* Recombination rate coefficients for the wind nebular ionization
* balance (iwneb=1, absolute mode; see README, wind mode).
*
* Columns:
*   IAT IZR   Arr    Brr    T0rr    T1rr    Crr   T2rr   Adr    Bdr    T0dr   T1dr
*
*   IAT - atomic number
*   IZR - spectroscopic stage of the RECOMBINING ion
*         (e.g. 5 = C V for the C IV <-> C V balance)
*   RR: Badnell (2006, ApJS 167, 334) fit,
*       alpha = Arr / [ sqrt(T/T0rr) * (1+sqrt(T/T0rr))^(1-B)
*                                    * (1+sqrt(T/T1rr))^(1+B) ],
*       B = Brr + Crr*exp(-T2rr/T)   (Crr=T2rr=0: 4-parameter form)
*       Values from http://amdpp.phys.strath.ac.uk/tamoc/DATA/RR/clist_K
*       (2023 version), ground state (M=1) rows.
*   DR: Shull & Van Steenberg (1982, ApJS 48, 95) Table 2 fit,
*       alpha = Adr * T^(-3/2) * exp(-T0dr/T) * (1 + Bdr*exp(-T1dr/T))
*       Their row "Xn" gives recombination TO ion stage n,
*       i.e. the recombining stage is IZR = n+1.
*       Exception: the He II (IAT=2 IZR=2) DR entry is the
*       Aldrovandi & Pequignot (1973, A&A 25, 137) fit - SvS82 do
*       not tabulate H, He, or Al.
*       Adr=0: no DR term. Physical for recombination of bare ions
*       (H II, He III: no core electron); a data gap for Al IV/Al V
*       (RR only - expect slight over-ionization of Al).
*
* Ions not listed here have no rate; in absolute mode WINNEB refuses
* to run if a needed ion is missing (unless the Seaton fallback is
* explicitly enabled with iwneb=2).
*
* IAT IZR  Arr       Brr     T0rr      T1rr      Crr     T2rr      Adr      Bdr      T0dr     T1dr
   6   3  2.067E-09  0.8012  1.643E-01 2.172E+06 0.0427  6.341E+04 6.15E-03 5.88E-02 1.41E+05 1.41E+05
   6   4  1.120E-10  0.6737  1.115E+02 5.938E+06 0.0     0.0       1.62E-03 3.43E-01 8.19E+04 1.59E+05
   6   5  4.798E-11  0.4834  1.355E+03 1.872E+07 0.0     0.0       4.78E-02 3.62E-01 3.44E+06 5.87E+05
   6   6  2.044E-10  0.6742  2.647E+02 2.773E+07 0.0     0.0       3.22E-02 3.15E-01 4.06E+06 8.31E+05
   7   3  2.410E-09  0.7948  1.231E-01 3.016E+06 0.0774  1.016E+05 7.41E-03 7.64E-02 2.01E+05 7.37E+04
   7   4  7.923E-10  0.7768  3.750E+00 3.468E+06 0.0223  7.206E+04 1.13E-02 1.64E-01 1.72E+05 2.25E+05
   7   5  1.533E-10  0.6682  1.823E+02 7.751E+06 0.0     0.0       2.62E-03 2.43E-01 1.02E+05 1.25E+05
   7   6  6.245E-11  0.4985  1.957E+03 2.177E+07 0.0     0.0       7.50E-02 3.50E-01 4.75E+06 8.35E+05
   7   7  2.388E-10  0.6732  3.960E+02 3.583E+07 0.0     0.0       4.61E-02 3.09E-01 5.44E+06 1.14E+06
   8   3  2.096E-09  0.7668  1.602E-01 4.377E+06 0.1070  1.392E+05 5.07E-03 1.81E-01 1.98E+05 3.35E+05
   8   4  2.501E-09  0.7844  5.235E-01 4.470E+06 0.0447  1.642E+05 1.48E-02 3.05E-01 2.41E+05 2.83E+05
   8   5  3.955E-09  0.7813  6.821E-01 5.076E+06 0.0     0.0       1.84E-02 1.00E-01 2.12E+05 2.83E+05
   8   6  1.724E-10  0.6556  3.372E+02 1.030E+07 0.0     0.0       4.13E-03 1.62E-01 1.25E+05 2.27E+05
   8   7  8.193E-11  0.5165  2.392E+03 2.487E+07 0.0     0.0       1.06E-01 3.40E-01 6.25E+06 1.12E+06
   8   8  2.652E-10  0.6705  5.842E+02 4.559E+07 0.0     0.0       6.23E-02 3.04E-01 7.01E+06 1.47E+06
  14   3  1.964E-10  0.6287  7.712E+00 2.951E+07 0.1523  4.804E+05 5.87E-03 7.53E-01 9.63E+04 6.46E+04
  14   4  6.739E-11  0.4931  2.166E+02 4.491E+07 0.1667  9.046E+05 5.03E-01 1.88E-01 8.75E+04 4.71E+04
  14   5  5.134E-11  0.3678  1.009E+03 8.514E+07 0.1646  1.084E+06 5.43E-03 4.50E-01 1.05E+06 7.98E+05
  14   6  2.468E-10  0.6113  1.649E+02 3.231E+07 0.0636  9.837E+05 8.86E-03 0.0      1.14E+06 0.0
  16   3  2.478E-11  0.4642  3.294E+02 2.166E+07 0.3351  7.630E+05 1.09E-02 1.20E-02 1.92E+05 1.80E+04
  16   4  3.043E-10  0.6947  1.678E+01 2.050E+07 0.0795  6.868E+04 3.35E-02 6.59E-02 1.89E+05 1.59E+05
  16   5  2.615E-10  0.6343  6.238E+01 2.803E+07 0.0773  1.059E+06 3.14E-02 6.89E-02 1.68E+05 8.04E+04
  16   6  1.588E-10  0.5584  3.350E+02 5.188E+07 0.0591  1.656E+06 1.27E-02 1.87E-01 1.38E+05 1.71E+05
   1   2  8.318E-11  0.7472  2.965E+00 7.001E+05 0.0     0.0       0.0      0.0      0.0      0.0
   2   2  5.235E-11  0.6988  7.301E+00 4.475E+06 0.0829  1.682E+05 1.90E-03 3.00E-01 4.70E+05 9.40E+04
   2   3  1.818E-10  0.7492  1.017E+01 2.786E+06 0.0     0.0       0.0      0.0      0.0      0.0
  10   3  8.321E-10  0.7254  3.332E+00 8.696E+06 0.0921  3.044E+05 2.65E-03 2.42E-01 2.84E+05 3.07E+05
  10   4  1.773E-10  0.6434  9.924E+00 8.878E+06 0.2205  2.292E+05 3.69E-03 1.01E+00 2.24E+05 2.94E+05
  10   5  1.861E-09  0.7593  2.504E+00 8.037E+06 0.0406  3.255E+05 1.18E-02 3.91E-01 2.70E+05 5.50E+05
  12   4  1.249E-10  0.5600  7.748E+01 2.015E+07 0.1917  5.139E+05 5.12E-03 3.23E-01 4.69E+05 7.55E+05
  12   5  7.515E-10  0.7203  2.582E+01 1.355E+07 0.0436  5.691E+05 7.74E-03 6.36E-01 3.74E+05 7.88E+05
  12   6  4.031E-10  0.6803  3.205E+01 1.626E+07 0.0764  5.399E+05 1.17E-02 8.07E-01 3.28E+05 1.02E+06
  13   4  3.171E-11  0.4493  1.821E+02 3.529E+07 0.2642  7.190E+05 0.0      0.0      0.0      0.0
  13   5  2.011E-10  0.5984  1.013E+02 2.635E+07 0.1072  7.591E+05 0.0      0.0      0.0      0.0
  16   7  9.565E-11  0.4517  1.599E+03 9.252E+07 0.0612  1.986E+06 1.47E-02 1.29E-01 1.80E+06 1.75E+06
